system:index,forest_lab,id,max_ndvi,mean_ndvi,min_ndvi,ndvi_01,ndvi_02,ndvi_03,ndvi_04,ndvi_05,ndvi_06,ndvi_07,ndvi_08,ndvi_09,ndvi_10,ndvi_11,ndvi_12,ndvi_amplitude,rand,subset,.geo
00000000000000000019_0,1,AL_041337257,0.876404345035553,0.7406951437393824,0.5439313650131226,0.6104003,0.5908727,0.54393137,0.8578096,0.8676435,0.87640435,0.7338159,0.85826015,0.7691828,0.82394594,0.73504275,0.62103236,0.3324729800224304,0.041337257577151,edge,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000023_0,1,AL_055020485,0.9064856767654419,0.7199830313523611,0.29948222637176514,0.29948223,0.44430107,0.5949978,0.9064857,0.90321845,0.87874687,0.8900634,0.8592197,0.8140644,0.7970526,0.729218,0.5229462,0.6070034503936768,0.05502048524765,edge,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002e_0,1,AL_063235899,0.861621618270874,0.6059891829888026,0.32216542959213257,0.36439994,0.36377245,0.3822064,0.7697581,0.83221966,0.8616216,0.65097237,0.81504565,0.7528443,0.7002052,0.45665908,0.32216543,0.5394561886787415,0.063235899139168,edge,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002f_0,1,AL_064714251,0.8661558032035828,0.660968745748202,0.31479763984680176,0.61897355,0.5982938,0.63610417,0.8558656,0.8661558,0.8300238,0.44146767,0.8307085,0.31479764,0.46109006,0.80206,0.67608434,0.551358163356781,0.064714251748794,edge,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000031_0,1,AL_071665588,0.8856889605522156,0.7048714285095533,0.4701492488384247,0.47648263,0.47014925,0.48779464,0.83597726,0.87166625,0.88568896,0.87791413,0.8310699,0.8105986,0.7815967,0.62555796,0.50396085,0.4155397117137909,0.071665588173808,edge,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000032_0,1,AL_071923499,0.8387613296508789,0.775000716249148,0.6489899158477783,0.80211574,0.73657435,0.7244303,0.767244,0.799329,0.6489899,0.74470186,0.7831663,0.8245283,0.8047428,0.82542473,0.8387613,0.18977141380310059,0.071923499133827,edge,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000033_0,1,AL_072428569,0.8403230905532837,0.6397937213381132,0.30173537135124207,0.30173537,0.32484782,0.55202466,0.69076926,0.75398064,0.7832402,0.8403231,0.79815346,0.78980047,0.74940896,0.6506024,0.44263834,0.5385877192020416,0.072428569099654,edge,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000034_0,1,AL_075383763,0.8430273532867432,0.7784673770268759,0.6155667901039124,0.7738201,0.7515769,0.7475372,0.7988239,0.6155668,0.83285344,0.8262536,0.8353256,0.84302735,0.82342213,0.69969815,0.7937034,0.2274605631828308,0.075383763120543,edge,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000040_0,1,AL_089750571,0.8901695013046265,0.752415249745051,0.6147986650466919,0.63626766,0.61479867,0.666223,0.8901695,0.87931037,0.8388846,0.79684764,0.8169389,0.8198423,0.7799672,0.6576402,0.632093,0.27537083625793457,0.089750571881695,edge,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000041_0,1,AL_092168343,0.8165727853775024,0.7864913741747538,0.7307175397872925,0.75162625,0.7617214,0.73071754,0.8052851,0.78688,0.80278045,0.8148525,0.7687586,0.8165728,0.8077086,0.8007668,0.79022646,0.08585524559020996,0.092168343662202,edge,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000046_0,1,AL_095299133,0.8639751672744751,0.7584416766961416,0.578000009059906,0.6751742,0.6263473,0.578,0.8504714,0.86397517,0.8492336,0.8430384,0.8446108,0.7852105,0.7825624,0.68202746,0.72064894,0.2859751582145691,0.095299133486977,edge,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000047_0,1,AL_095536876,0.8142459988594055,0.7156083335479101,0.5395929217338562,0.6882353,0.6878711,0.6707057,0.8086161,0.8125894,0.79843134,0.8113208,0.814246,0.70309275,0.655529,0.5395929,0.5970696,0.2746530771255493,0.095536876727689,edge,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000049_0,1,AL_097443568,0.8656716346740723,0.7194933195908865,0.5343629121780396,0.5893699,0.5691299,0.5343629,0.801675,0.6455317,0.86567163,0.8572132,0.841993,0.8047752,0.7634942,0.7649326,0.59577066,0.3313087224960327,0.097443568541921,edge,"{""type"":""MultiPoint"",""coordinates"":[]}"
